name,team_played_against,runs,balls,fours,sixes,team_batting_first_or_second,stadium,weather_conditions,league,type
Ishan Kishan,Sri Lanka,23,18,3,0,S,R Premadasa,Clear,Asia Cup,ODI
Shubman Gill,Sri Lanka,27,19,6,0,S,R Premadasa,Clear,Asia Cup,ODI
Rohit Sharma,Bangladesh,0,2,0,0,S,R Premadasa,Clear,Asia Cup,ODI
Shubman Gill,Bangladesh,121,133,8,5,S,R Premadasa,Clear,Asia Cup,ODI
Tilak Varma,Bangladesh,5,9,1,0,S,R Premadasa,Clear,Asia Cup,ODI
KL Rahul,Bangladesh,19,39,2,0,S,R Premadasa,Clear,Asia Cup,ODI
Ishan Kishan,Bangladesh,5,15,0,0,S,R Premadasa,Clear,Asia Cup,ODI
Suryakumar Yadav,Bangladesh,26,34,3,0,S,R Premadasa,Clear,Asia Cup,ODI
Ravindra Jadeja,Bangladesh,7,12,0,0,S,R Premadasa,Clear,Asia Cup,ODI
Axar Patel,Bangladesh,42,34,3,2,S,R Premadasa,Clear,Asia Cup,ODI
Shardul Thakur,Bangladesh,11,13,0,0,S,R Premadasa,Clear,Asia Cup,ODI
Mohammed Shami,Bangladesh,6,6,1,0,S,R Premadasa,Clear,Asia Cup,ODI
Prasidh Krishna,Bangladesh,0,2,0,0,S,R Premadasa,Clear,Asia Cup,ODI
Rohit Sharma,Sri Lanka,53,48,7,2,F,R Premadasa,Clear,Asia Cup,ODI
Shubman Gill,Sri Lanka,19,25,2,0,F,R Premadasa,Clear,Asia Cup,ODI
Virat Kohli,Sri Lanka,3,12,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Ishan Kishan,Sri Lanka,33,61,1,1,F,R Premadasa,Clear,Asia Cup,ODI
KL Rahul,Sri Lanka,39,44,2,0,F,R Premadasa,Clear,Asia Cup,ODI
Hardik Pandya,Sri Lanka,5,18,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Ravindra Jadeja,Sri Lanka,4,19,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Axar Patel,Sri Lanka,26,36,0,1,F,R Premadasa,Clear,Asia Cup,ODI
Jasprit Bumrah,Sri Lanka,5,12,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Kuldeep Yadav,Sri Lanka,0,1,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Mohammed Siraj,Sri Lanka,5,19,0,0,F,R Premadasa,Clear,Asia Cup,ODI
Rohit Sharma,Pakistan,56,49,6,4,F,R Premadasa,Clear,Asia Cup,ODI
Shubman Gill,Pakistan,58,52,10,0,F,R Premadasa,Clear,Asia Cup,ODI
Virat Kohli,Pakistan,122,94,9,3,F,R Premadasa,Clear,Asia Cup,ODI
KL Rahul,Pakistan,111,106,12,2,F,R Premadasa,Clear,Asia Cup,ODI
Rohit Sharma,Nepal,74,59,6,5,S,Pallekele,Rain,Asia Cup,ODI
Shubman Gill,Nepal,67,62,8,1,S,Pallekele,Rain,Asia Cup,ODI
Rohit Sharma,Pakistan,11,22,2,0,F,Pallekele,Rain,Asia Cup,ODI
Shubman Gill,Pakistan,10,32,1,0,F,Pallekele,Rain,Asia Cup,ODI
Virat Kohli,Pakistan,4,7,1,0,F,Pallekele,Rain,Asia Cup,ODI
Shreyas Iyer,Pakistan,14,9,2,0,F,Pallekele,Rain,Asia Cup,ODI
Ishan Kishan,Pakistan,82,81,9,2,F,Pallekele,Rain,Asia Cup,ODI
Hardik Pandya,Pakistan,87,90,7,1,F,Pallekele,Rain,Asia Cup,ODI
Ravindra Jadeja,Pakistan,14,22,1,0,F,Pallekele,Rain,Asia Cup,ODI
Shardul Thakur,Pakistan,3,3,0,0,F,Pallekele,Rain,Asia Cup,ODI
Kuldeep Yadav,Pakistan,4,13,0,0,F,Pallekele,Rain,Asia Cup,ODI
Jasprit Bumrah,Pakistan,16,14,3,0,F,Pallekele,Rain,Asia Cup,ODI
Mohammed Siraj,Pakistan,1,1,0,0,F,Pallekele,Rain,Asia Cup,ODI
