name,team_played_against,wickets,overs_bowled,runs,team_batting_first_or_second,stadium,weather_conditions,league,type
Mohammed Shami,Nepal,1,7,29,S,Pallekele,Rain,Asia Cup,ODI
Mohammed Siraj,Nepal,3,9.2,61,S,Pallekele,Rain,Asia Cup,ODI
Hardik Pandya,Nepal,1,8,34,S,Pallekele,Rain,Asia Cup,ODI
Shardul Thakur,Nepal,1,4,26,S,Pallekele,Rain,Asia Cup,ODI
Ravindra Jadeja,Nepal,3,10,40,S,Pallekele,Rain,Asia Cup,ODI
Kuldeep Yadav,Nepal,0,10,34,S,Pallekele,Rain,Asia Cup,ODI
Jasprit Bumrah,Pakistan,1,5,18,F,R Premadasa,Rain,Asia Cup,ODI
Mohammed Siraj,Pakistan,0,5,23,F,R Premadasa,Rain,Asia Cup,ODI
Hardik Pandya,Pakistan,1,5,17,F,R Premadasa,Rain,Asia Cup,ODI
Shardul Thakur,Pakistan,1,4,16,F,R Premadasa,Rain,Asia Cup,ODI
Kuldeep Yadav,Pakistan,5,8,25,F,R Premadasa,Rain,Asia Cup,ODI
Ravindra Jadeja,Pakistan,0,5,26,F,R Premadasa,Rain,Asia Cup,ODI
Jasprit Bumrah,Sri Lanka,2,7,30,F,R Premadasa,Clear,Asia Cup,ODI
Mohammed Siraj,Sri Lanka,1,5,17,F,R Premadasa,Clear,Asia Cup,ODI
Hardik Pandya,Sri Lanka,1,5,14,F,R Premadasa,Clear,Asia Cup,ODI
Kuldeep Yadav,Sri Lanka,4,9.3,43,F,R Premadasa,Clear,Asia Cup,ODI
Ravindra Jadeja,Sri Lanka,2,10,33,F,R Premadasa,Clear,Asia Cup,ODI
Axar Patel,Sri Lanka,0,5,29,F,R Premadasa,Clear,Asia Cup,ODI
Mohammed Shami,Bangladesh,2,8,32,S,R Premadasa,Clear,Asia Cup,ODI
Shardul Thakur,Bangladesh,3,10,65,S,R Premadasa,Clear,Asia Cup,ODI
Prasidh Krishna,Bangladesh,1,9,43,S,R Premadasa,Clear,Asia Cup,ODI
Axar Patel,Bangladesh,1,9,47,S,R Premadasa,Clear,Asia Cup,ODI
Tilak Verma,Bangladesh,0,4,21,S,R Premadasa,Clear,Asia Cup,ODI
Ravindra Jadeja,Bangladesh,1,10,53,S,R Premadasa,Clear,Asia Cup,ODI
Jasprit Bumrah,Sri Lanka,1,5,23,S,R Premadasa,Clear,Asia Cup,ODI
Mohammed Siraj,Sri Lanka,6,7,21,S,R Premadasa,Clear,Asia Cup,ODI
Hardik Pandya,Sri Lanka,3,2.2,3,S,R Premadasa,Clear,Asia Cup,ODI
Kudeep Yadav,Sri Lanka,1,1,1,S,R Premadasa,Clear,Asia Cup,ODI
